Fecha_Ocurrencia,Direccion,Barrio,Vehiculos Involucrados,Heridos,Accidente con,Muertes,Clase de Accidente,Día,Mes,Año,Mortalidad,Mortalidad_label
2024-01-03,CALLE 14A CARRERA 34   BACHUE,BACHUE,2,2,HERIDOS,0,CHOQUE,3,1,2024,False,Sin mortalidad
2024-01-06,CALLE 14 CARRERA  28   SAN JOSÃ,SAN JOSÃ,2,3,HERIDOS,0,CHOQUE,6,1,2024,False,Sin mortalidad
2024-01-09,KILOMETRO 7+800 MTS,No registra,1,1,HERIDOS,0,CHOQUE,9,1,2024,False,Sin mortalidad
2024-01-12,AVENIDA 23 N. 24 - 07   LA TIZA,LA TIZA,2,2,HERIDOS,0,CHOQUE,12,1,2024,False,Sin mortalidad
2024-01-12,KILOMETRO 3+500 MTS VIA CHICHIMENE ESTACION ACACIAS,No registra,2,1,HERIDOS,0,CHOQUE,12,1,2024,False,Sin mortalidad
2024-01-15,CALLE 13 N.22+48  -  COOPERATIVO,COOPERATIVO,1,1,HERIDOS,0,CHOQUE,15,1,2024,False,Sin mortalidad
2024-01-17,CALLE 18 N 21-56 -  MANCERA,MANCERA,2,1,HERIDOS,0,CHOQUE,17,1,2024,False,Sin mortalidad
2024-01-27,CALLE 10 N 23 -01  -  DORADO,DORADO,2,1,HERIDOS,0,CHOQUE,27,1,2024,False,Sin mortalidad
2021-01-26,DIAGONAL 15 CARRERA 31 - VILLA DEL SOL  VEREDA,No registra,1,0,MUERTOS,1,CHOQUE,26,1,2021,True,Con mortalidad
2024-02-07,AVENIDA 23 CARRERA  27 -,No registra,2,1,HERIDOS,0,CHOQUE,7,2,2024,False,Sin mortalidad
2024-02-12,CALLE 11 CARRERA 23  -  DORADO,DORADO,2,1,HERIDOS,0,CHOQUE,12,2,2024,False,Sin mortalidad
2024-02-12,AVENIDA 23 N. 5A-93 -  PABLO EMILIO RIVEROS,PABLO EMILIO RIVEROS,2,1,HERIDOS,0,CHOQUE,12,2,2024,False,Sin mortalidad
2024-02-14,CALLE 18 CARRERA 14 -  SAN CRISTOBAL LOMA DE TIGRE,SAN CRISTOBAL,2,3,HERIDOS,0,CHOQUE,14,2,2024,False,Sin mortalidad
2024-02-15,KILOMETRO 1+200 MTS   -,No registra,2,1,HERIDOS,0,CHOQUE,15,2,2024,False,Sin mortalidad
2024-02-15,CARRERA 23 N.17 -76  -  MANCERA,MANCERA,2,3,HERIDOS,0,CHOQUE,15,2,2024,False,Sin mortalidad
2024-02-18,CALLE 18 N-4-01  -  POPULAR,POPULAR,2,1,HERIDOS,0,CHOQUE,18,2,2024,False,Sin mortalidad
2024-02-18,CARRERA 23 N.16A-35  -  EL BOSQUE,EL BOSQUE,2,2,HERIDOS,0,CHOQUE,18,2,2024,False,Sin mortalidad
2024-02-20,CALLE 12 CARRERA 26 -  DORADO,DORADO,2,1,HERIDOS,0,CHOQUE,20,2,2024,False,Sin mortalidad
2024-02-21,CALLE 15 CARRERA 33 -,No registra,2,1,HERIDOS,0,CHOQUE,21,2,2024,False,Sin mortalidad
2024-02-22,KILOMETRO 3 VIA ANTIGUA GUAMAL  -,No registra,1,0,MUERTOS,1,CHOQUE,22,2,2024,True,Con mortalidad
2024-02-24,CALLE 17 CARRERA 6 -  POPULAR,POPULAR,2,3,HERIDOS,0,CHOQUE,24,2,2024,False,Sin mortalidad
2024-02-27,KILOMETRO 57+100 MTS VIA GRANADA -VILLAVICENCIO  -,No registra,2,0,MUERTOS,2,CHOQUE,27,2,2024,True,Con mortalidad
2024-03-03,KILOMETRO KM 7 VIA ANTIGUA GUAMAL  -,No registra,2,2,HERIDOS,0,CHOQUE,3,3,2024,False,Sin mortalidad
2024-03-05,CALLE 15 CARRERA 47 -  COLINAS EL ROSARIO,COLINAS,2,1,HERIDOS,0,CHOQUE,5,3,2024,False,Sin mortalidad
2024-03-11,CARRERA 33 CALLE  14A -  BACHUE,BACHUE,2,3,HERIDOS,0,CHOQUE,11,3,2024,False,Sin mortalidad
2024-03-23,CALLE 13 N 19-70  -,No registra,1,1,MUERTOS,1,ATROPELLO,23,3,2024,True,Con mortalidad
2024-03-29,KILOMETRO 0+400 MTS VIA ANTIGUA GUAMAL  -,No registra,2,2,HERIDOS,0,CHOQUE,29,3,2024,False,Sin mortalidad
2024-03-27,AVENIDA 23 CARRERA 27A -  VILLA LUCIA,VILLA LUCIA,2,1,HERIDOS,0,CHOQUE,27,3,2024,False,Sin mortalidad
2024-03-30,CALLE 18 N 9-50  -  POPULAR,POPULAR,1,1,HERIDOS,0,ATROPELLO,30,3,2024,False,Sin mortalidad
2024-04-10,CALLE 14 CARRERA 41 -  COMCAJA RANCHO GRANDE,COMCAJA,2,2,HERIDOS,0,CHOQUE,10,4,2024,False,Sin mortalidad
2024-04-10,KILOMETRO 1 VIA ACACIAS -VILLAVICENCIO  -  VILLA MANUELA,VILLA MANUELA,2,3,HERIDOS,0,CHOQUE,10,4,2024,False,Sin mortalidad
2024-04-11,CALLE 11 CRA 31 -  SAMAN BRISAS DEL GUAYURIBA,SAMAN,3,2,HERIDOS,0,CHOQUE,11,4,2024,False,Sin mortalidad
2024-04-11,CALLE 19 N.22A  -  SIN INFORMACIÃN DEL BARRIO RANCHO GRANDE,No registra,2,2,HERIDOS,0,CHOQUE,11,4,2024,False,Sin mortalidad
2024-04-14,CARRERA 15 6A -77  -  MALECÃN TURISTICO,MALECÃN TURISTICO,2,3,HERIDOS,0,CHOQUE,14,4,2024,False,Sin mortalidad
2024-04-19,CALLE 20 CARRERA 49 -  COLINAS,COLINAS,2,1,HERIDOS,0,CHOQUE,19,4,2024,False,Sin mortalidad
2024-04-21,CALLE 13 CARRERA 18 -  CENTRO,CENTRO,2,3,HERIDOS,0,CHOQUE,21,4,2024,False,Sin mortalidad
2024-04-25,CALLE 14 CARRERA 12 -  JUAN MELLAO,JUAN MELLAO,2,1,HERIDOS,0,CHOQUE,25,4,2024,False,Sin mortalidad
2024-04-27,CALLE 12 CARRERA 25 -  DORADO BAJO,DORADO BAJO,2,1,HERIDOS,0,CHOQUE,27,4,2024,False,Sin mortalidad
2024-04-28,CARRERA 36 N. 9-82  -  INDEPENDENCIA,INDEPENDENCIA,1,2,HERIDOS,0,ATROPELLO,28,4,2024,False,Sin mortalidad
2024-04-29,CALLE 15 CARRERA 22 -  COOPERATIVO,COOPERATIVO,3,2,HERIDOS,0,CHOQUE,29,4,2024,False,Sin mortalidad
2024-05-06,CALLE 19 CARRERA 18A -  MANCERA,MANCERA,2,2,HERIDOS,0,CHOQUE,6,5,2024,False,Sin mortalidad
2024-05-07,CARRERA 31 CALLE  16C -  BACHUE,BACHUE,2,3,HERIDOS,0,CHOQUE,7,5,2024,False,Sin mortalidad
2024-05-11,CALLE 15 N.21-76  -  SIN INFORMACIÃN DEL BARRIO,No registra,1,1,HERIDOS,0,ATROPELLO,11,5,2024,False,Sin mortalidad
2024-05-22,DIAGONAL 15 CARRERA 30 -  ASOCIACIÃN DE AMIGOS,ASOCIACIÃN DE AMIGOS,2,1,HERIDOS,0,CHOQUE,22,5,2024,False,Sin mortalidad
2024-05-22,KILOMETRO 1 VIA VEREDA ESMERALDA  -,No registra,1,1,HERIDOS,0,CHOQUE,22,5,2024,False,Sin mortalidad
2024-05-26,DIAGONAL 15 CARRERA 41 - VILLA AURORA,No registra,2,3,HERIDOS,0,CHOQUE,26,5,2024,False,Sin mortalidad
2024-05-26,KILOMETRO 26 + 645  -  VÃA GRANADA-VILLAVICENCIO,Afueras de la ciudad,1,1,HERIDOS,0,CHOQUE,26,5,2024,False,Sin mortalidad
2024-05-27,KILOMETRO 19 VIA VAQUEROS CLUB -,No registra,3,0,MUERTOS,1,CHOQUE,27,5,2024,True,Con mortalidad
2024-06-01,KILOMETRO 2+200 MTS  VIA  ACACIAS  ANTIGUA GUAMAL -  VÃA ANTIGUA GUAMAL,VÃA ANTIGUA GUAMAL,2,1,HERIDOS,0,CHOQUE,1,6,2024,False,Sin mortalidad
2024-06-08,KILOMETRO 00+900 MTS VIA ANTIGUA  GUAMAL -,No registra,2,1,HERIDOS,0,CHOQUE,8,6,2024,False,Sin mortalidad
2024-06-09,CALLE 13 CARRERA 21 -  COOPERATIVO,COOPERATIVO,2,2,HERIDOS,0,CHOQUE,9,6,2024,False,Sin mortalidad
2024-06-07,CARRERA 23 CALLE 5 -  PABLO EMILIO RIVEROS,PABLO EMILIO RIVEROS,2,2,HERIDOS,0,CHOQUE,7,6,2024,False,Sin mortalidad
2024-06-16,CALLE 14 CARRERA 45A -  CIMARRON,CIMARRON,1,0,MUERTOS,1,CHOQUE,16,6,2024,True,Con mortalidad
2024-06-19,KILOMETRO 26+500 MTS VIA VILLAVICENCIO  GRANADA -,No registra,2,0,MUERTOS,1,CHOQUE,19,6,2024,True,Con mortalidad
2024-06-20,CARRERA 23 +18-35   -  MANCERA ESMERALDA,MANCERA,2,1,HERIDOS,0,CHOQUE,20,6,2024,False,Sin mortalidad
2024-06-20,CALLE 14 CARRERA 26 -  SIN INFORMACIÃN DEL BARRIO,No registra,2,1,HERIDOS,0,CHOQUE,20,6,2024,False,Sin mortalidad
2024-06-21,CALLE 20 48  -  BRISAS DE LA COLINA,BRISAS DE LA COLINA,2,2,HERIDOS,0,CHOQUE,21,6,2024,False,Sin mortalidad
2024-06-22,CALLE 23 N 19-16  - ARAGUANEY  LA PRIMAVERA,No registra,2,1,HERIDOS,0,CHOQUE,22,6,2024,False,Sin mortalidad
2024-06-24,KILOMETRO 10+100 MTS VIA ACACIAS  CHCICHIMENE -,No registra,2,2,HERIDOS,0,CHOQUE,24,6,2024,False,Sin mortalidad
2024-06-25,CALLE 18 N.9-50  - PALERMO  RANCHO GRANDE,No registra,2,1,HERIDOS,0,CHOQUE,25,6,2024,False,Sin mortalidad
2024-06-27,CALLE 13 CARRERA  15 -  CENTRO,CENTRO,2,2,HERIDOS,0,CHOQUE,27,6,2024,False,Sin mortalidad
2024-06-27,DIAGONAL 15 N 23 -17  -  SAN JOSÃ,SAN JOSÃ,1,3,HERIDOS,0,ATROPELLO,27,6,2024,False,Sin mortalidad
2024-07-03,KILOMETRO 4 VIA ACACIAS  DINAMARCA -,No registra,2,1,HERIDOS,0,CHOQUE,3,7,2024,False,Sin mortalidad
2024-07-07,KILOMETRO 0+400 MTS ACACIAS  VEREDA RANCHO  GRANDE,No registra,2,1,HERIDOS,0,CHOQUE,7,7,2024,False,Sin mortalidad
2024-07-10,CALLE 18 CARRERA  17 -  MANCERA,MANCERA,1,1,HERIDOS,0,CHOQUE,10,7,2024,False,Sin mortalidad
2024-07-10,CARRERA 25 CALLE  10A - B/EVEREST,No registra,2,1,HERIDOS,0,CHOQUE,10,7,2024,False,Sin mortalidad
